rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
20,Francisca Sommer & Josephin Haberlandt,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,20
21,Anne A & Julia Achter,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,21
22,Yoonji Jang & amy charlton,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,Endurance,,,,,,,,,22
1,Laura Berger & Andrea Sommer,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,MetCon X,,,16:06,,,,,,1
2,Isa Braun & Vera Pöhl,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,MetCon X,,,16:36,,,,,,2
3,daisy heinsen & Diana Fink,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,MetCon X,,,16:38,,,,,,3
4,Martina Burkert & Charlotte Schindler,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,MetCon X,,,17:53,,,,,,4
5,Svenja Rojem-Wagner & Burcin Özcelik,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,MetCon X,,,18:07,,,,,,5
6,Georgette Vazquez & Laura Lopez,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,MetCon X,,,21:08,,,,,,6
7,Louise Whittaker & Chloe Canham,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,MetCon X,,,21:36,,,,,,7
8,Maryna Werner & Ilona Lipovska,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX Lite,MetCon X,,,23:20,,,,,,8
1,Fabian Eisenlauer & Jennifer Nikolaus,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,1
